GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-parameters,com.prismamp.todopago.controllers,AbstractController,110,0,4,0,19,0,13,0,11,0
ms-parameters,com.prismamp.todopago.controllers,EndpointsEdpController,3,0,0,0,1,0,1,0,1,0
ms-parameters,com.prismamp.todopago.controllers,InputModeController,7,0,0,0,2,0,2,0,2,0
ms-parameters,com.prismamp.todopago,MsParametersApplication,8,0,0,0,3,0,2,0,2,0
ms-parameters,com.prismamp.todopago.model.abstracts,GenericParameter,58,0,0,0,18,0,12,0,12,0
ms-parameters,com.prismamp.todopago.model.abstracts,GenericParameterEventHandler,6,0,0,0,3,0,2,0,2,0
ms-parameters,com.prismamp.todopago.model,EndpointsEdp,31,0,0,0,13,0,9,0,9,0
ms-parameters,com.prismamp.todopago.model,InputMode,24,0,0,0,10,0,7,0,7,0
ms-parameters,com.prismamp.todopago.configurations,MyKeyGenerator,39,0,2,0,6,0,3,0,2,0
ms-parameters,com.prismamp.todopago.configurations,RepositoryConfiguration,17,0,0,0,3,0,3,0,3,0
ms-parameters,com.prismamp.todopago.configurations,AuditorAwareImpl,5,0,0,0,2,0,2,0,2,0
ms-parameters,com.prismamp.todopago.utils,ParametersUtils,13,0,0,0,4,0,2,0,2,0
